O6P4 {'Iter': [9], 'EtotRyd': [-3639.09545327], 'VolBohr3': [760.1381], 'EfermiRyd': [0.4375259022]}
OSi2 {'Iter': [8], 'EtotRyd': [-1310.36997063], 'VolBohr3': [287.43945], 'EfermiRyd': [0.4610020597]}
NaO {'Iter': [7], 'EtotRyd': [-475.31550246], 'VolBohr3': [186.19079], 'EfermiRyd': [-0.1236067655]}
O10Ti4 {'Iter': [13], 'EtotRyd': [-8335.31311767], 'VolBohr3': [860.26498], 'EfermiRyd': [0.5220859881]}
O3V {'Iter': [12], 'EtotRyd': [-2350.24573034], 'VolBohr3': [340.02294], 'EfermiRyd': [0.1332159584]}
OZn2 {'Iter': [9], 'EtotRyd': [-7334.91217346], 'VolBohr3': [274.73665], 'EfermiRyd': [0.4659846454]}
FeO2 {'Iter': [11], 'EtotRyd': [-2846.53821859], 'VolBohr3': [163.77406], 'EfermiRyd': [0.5810387204]}
NeO3 {'Iter': [8], 'EtotRyd': [-708.14233428], 'VolBohr3': [516.48915], 'EfermiRyd': [-0.3985314684]}
OSe2 {'Iter': [12], 'EtotRyd': [-9871.13375871], 'VolBohr3': [336.12984], 'EfermiRyd': [0.4139154311]}
NiO2 {'Iter': [10], 'EtotRyd': [-3342.45849537], 'VolBohr3': [176.78038], 'EfermiRyd': [0.4557855273]}
He2O {'Iter': [7], 'EtotRyd': [-161.55537629], 'VolBohr3': [203.14101], 'EfermiRyd': [-0.3569777425]}
LiO2 {'Iter': [7], 'EtotRyd': [-315.77758253], 'VolBohr3': [167.18859], 'EfermiRyd': [0.0382048772]}
H2O {'Iter': [7], 'EtotRyd': [-152.65474364], 'VolBohr3': [80.55663], 'EfermiRyd': [0.3090748302]}
OSc2 {'Iter': [8], 'EtotRyd': [-3207.53311906], 'VolBohr3': [291.80957], 'EfermiRyd': [0.6474060836]}
Cu4O6 {'Iter': [9], 'EtotRyd': [-14142.59904467], 'VolBohr3': [701.84001], 'EfermiRyd': [0.3519459357]}
BO2 {'Iter': [7], 'EtotRyd': [-350.36635534], 'VolBohr3': [137.23949], 'EfermiRyd': [0.4795064238]}
KO3 {'Iter': [7], 'EtotRyd': [-1654.80484316], 'VolBohr3': [880.27946], 'EfermiRyd': [-0.4066489427]}
Mg4O10 {'Iter': [10], 'EtotRyd': [-3106.61394979], 'VolBohr3': [929.07333], 'EfermiRyd': [0.2131066998]}
Li4O6 {'Iter': [7], 'EtotRyd': [-962.74791755], 'VolBohr3': [601.39325], 'EfermiRyd': [-0.010083542]}
O2Sc {'Iter': [8], 'EtotRyd': [-1829.76175187], 'VolBohr3': [223.42737], 'EfermiRyd': [0.3235801202]}
Fe4O6 {'Iter': [11], 'EtotRyd': [-11085.23968895], 'VolBohr3': [615.94576], 'EfermiRyd': [0.5684748262]}
K4O6 {'Iter': [8], 'EtotRyd': [-5719.04688464], 'VolBohr3': [1523.16341], 'EfermiRyd': [-0.1651507291]}
O3Zn {'Iter': [13], 'EtotRyd': [-4043.14442973], 'VolBohr3': [384.68964], 'EfermiRyd': [-0.076878813]}
Cl2O {'Iter': [10], 'EtotRyd': [-1996.02772773], 'VolBohr3': [364.99508], 'EfermiRyd': [0.034140556]}
O6Si4 {'Iter': [8], 'EtotRyd': [-3223.20870864], 'VolBohr3': [658.64107], 'EfermiRyd': [0.7032212147]}
O3P {'Iter': [8], 'EtotRyd': [-1135.63046739], 'VolBohr3': [248.15797], 'EfermiRyd': [0.3649237001]}
BrO {'Iter': [8], 'EtotRyd': [-5363.50716711], 'VolBohr3': [209.28298], 'EfermiRyd': [0.2767679954]}
Mg4O6 {'Iter': [8], 'EtotRyd': [-2506.09293825], 'VolBohr3': [761.15303], 'EfermiRyd': [0.187507143]}
GeO {'Iter': [8], 'EtotRyd': [-4348.65717564], 'VolBohr3': [182.73576], 'EfermiRyd': [0.4340694855]}
FeO3 {'Iter': [21], 'EtotRyd': [-2996.81442892], 'VolBohr3': [313.05652], 'EfermiRyd': [0.1740080489]}
C4O6 {'Iter': [8], 'EtotRyd': [-1205.31669276], 'VolBohr3': [568.99552], 'EfermiRyd': [0.3385159533]}
CuO2 {'Iter': [12], 'EtotRyd': [-3610.7506172], 'VolBohr3': [190.85184], 'EfermiRyd': [0.3290971359]}
CoO2 {'Iter': [10], 'EtotRyd': [-3087.81926785], 'VolBohr3': [168.70965], 'EfermiRyd': [0.5324129709]}
BeO {'Iter': [7], 'EtotRyd': [-180.24293332], 'VolBohr3': [81.90467], 'EfermiRyd': [0.5073672008]}
Li2O {'Iter': [8], 'EtotRyd': [-180.86595256], 'VolBohr3': [166.4979], 'EfermiRyd': [0.1177081397]}
KrO3 {'Iter': [8], 'EtotRyd': [-6031.35073296], 'VolBohr3': [467.13504], 'EfermiRyd': [-0.0512553223]}
O2Si {'Iter': [8], 'EtotRyd': [-881.14826875], 'VolBohr3': [162.32082], 'EfermiRyd': [0.6884533037]}
Cr2O {'Iter': [9], 'EtotRyd': [-4353.86691519], 'VolBohr3': [205.15217], 'EfermiRyd': [0.8644629152]}
C2O {'Iter': [8], 'EtotRyd': [-301.92020311], 'VolBohr3': [192.1157], 'EfermiRyd': [0.3037494591]}
OP2 {'Iter': [8], 'EtotRyd': [-1518.55789288], 'VolBohr3': [269.24756], 'EfermiRyd': [0.5053139666]}
Mn4O10 {'Iter': [18], 'EtotRyd': [-10772.54479489], 'VolBohr3': [777.66261], 'EfermiRyd': [0.5345022125]}
FO2 {'Iter': [9], 'EtotRyd': [-499.84935676], 'VolBohr3': [205.14001], 'EfermiRyd': [-0.1073812126]}
Na4O10 {'Iter': [9], 'EtotRyd': [-2802.58482813], 'VolBohr3': [998.14115], 'EfermiRyd': [-0.0008070215]}
NO2 {'Iter': [8], 'EtotRyd': [-409.68512536], 'VolBohr3': [171.6294], 'EfermiRyd': [0.1604717094]}
AlO {'Iter': [7], 'EtotRyd': [-636.18886185], 'VolBohr3': [151.22401], 'EfermiRyd': [0.6272529039], 'Warning_last': ':WARN : QTL-B value eq.   3.62 in Band of energy  -0.13642  ATOM=    2  L=  1'}
Be4O6 {'Iter': [7], 'EtotRyd': [-1021.21409838], 'VolBohr3': [523.25375], 'EfermiRyd': [0.3297742584]}
OSe {'Iter': [8], 'EtotRyd': [-5010.75620497], 'VolBohr3': [190.89212], 'EfermiRyd': [0.435767697]}
O3S {'Iter': [9], 'EtotRyd': [-1249.43683227], 'VolBohr3': [261.72618], 'EfermiRyd': [0.3549840718]}
Ca4O6 {'Iter': [8], 'EtotRyd': [-6346.79935028], 'VolBohr3': [1082.3336], 'EfermiRyd': [0.1342118542]}
OS {'Iter': [7], 'EtotRyd': [-948.61577934], 'VolBohr3': [165.94416], 'EfermiRyd': [0.396735669]}
He4O6 {'Iter': [7], 'EtotRyd': [-923.48836489], 'VolBohr3': [415.59601], 'EfermiRyd': [0.139017404]}
NaO3 {'Iter': [8], 'EtotRyd': [-775.47139673], 'VolBohr3': [545.6173], 'EfermiRyd': [-0.3566569925]}
Li4O10 {'Iter': [9], 'EtotRyd': [-1563.45195506], 'VolBohr3': [828.0786], 'EfermiRyd': [0.0932378472]}
LiO3 {'Iter': [7], 'EtotRyd': [-465.81709764], 'VolBohr3': [309.40587], 'EfermiRyd': [-0.1607083927]}
MnO2 {'Iter': [11], 'EtotRyd': [-2618.29154697], 'VolBohr3': [166.64797], 'EfermiRyd': [0.6119481514]}
CuO {'Iter': [9], 'EtotRyd': [-3460.49558238], 'VolBohr3': [129.02223], 'EfermiRyd': [0.4697539506]}
CaO2 {'Iter': [7], 'EtotRyd': [-1661.81886712], 'VolBohr3': [286.02895], 'EfermiRyd': [0.0716389948]}
F4O6 {'Iter': [9], 'EtotRyd': [-1699.24236556], 'VolBohr3': [749.80587], 'EfermiRyd': [-0.1328862782]}
LiO {'Iter': [7], 'EtotRyd': [-165.55088908], 'VolBohr3': [112.73758], 'EfermiRyd': [-0.0123900135]}
CrO2 {'Iter': [12], 'EtotRyd': [-2402.81776301], 'VolBohr3': [171.59695], 'EfermiRyd': [0.6375286929]}
O2Ti {'Iter': [9], 'EtotRyd': [-2008.98557927], 'VolBohr3': [190.62327], 'EfermiRyd': [0.6046560629]}
OSi {'Iter': [8], 'EtotRyd': [-730.48870545], 'VolBohr3': [165.71564], 'EfermiRyd': [0.4999101796], 'Warning_last': ':WARN : QTL-B value eq.   2.69 in Band of energy  -0.24238  ATOM=    2  L=  1'}
AsO3 {'Iter': [8], 'EtotRyd': [-4973.42635878], 'VolBohr3': [321.74075], 'EfermiRyd': [0.1890019014]}
BeO3 {'Iter': [7], 'EtotRyd': [-480.61651839], 'VolBohr3': [262.37521], 'EfermiRyd': [0.0172546329]}
Mg2O {'Iter': [8], 'EtotRyd': [-951.8770265], 'VolBohr3': [301.0169], 'EfermiRyd': [0.3753570134]}
ClO3 {'Iter': [9], 'EtotRyd': [-1373.67842984], 'VolBohr3': [348.8649], 'EfermiRyd': [0.0533571185]}
BO {'Iter': [7], 'EtotRyd': [-199.95448069], 'VolBohr3': [99.19619], 'EfermiRyd': [0.667132044], 'Warning_last': ':WARN : QTL-B value eq.   3.86 in Band of energy  -0.26355  ATOM=    2  L=  1'}
Na4O6 {'Iter': [8], 'EtotRyd': [-2201.68002831], 'VolBohr3': [951.37639], 'EfermiRyd': [-0.1488434799]}
AsO {'Iter': [8], 'EtotRyd': [-4672.56829144], 'VolBohr3': [183.00007], 'EfermiRyd': [0.5104365975]}
