Nb2O {'Iter': [8], 'EtotRyd': [-15432.28115063], 'VolBohr3': [291.26797], 'EfermiRyd': [0.911607236], 'Warning_last': ':WARN : QTL-B value eq.   2.39 in Band of energy   0.33179  ATOM=    2  L=  1'}
Ir4O6 {'Iter': [8], 'EtotRyd': [-143767.56544187], 'VolBohr3': [752.73509], 'EfermiRyd': [0.8106755302]}
O6Rn4 {'Iter': [8], 'EtotRyd': [-189871.16187154], 'VolBohr3': [1358.99914], 'EfermiRyd': [0.3921107767]}
I2O {'Iter': [13], 'EtotRyd': [-28626.42077788], 'VolBohr3': [483.72821], 'EfermiRyd': [0.3788139513]}
OPd {'Iter': [9], 'EtotRyd': [-10244.46728789], 'VolBohr3': [157.04595], 'EfermiRyd': [0.5792628047]}
Nd2O {'Iter': [10], 'EtotRyd': [-38670.66790284], 'VolBohr3': [421.61419], 'EfermiRyd': [0.7900448326]}
La4O6 {'Iter': [10], 'EtotRyd': [-68885.79910012], 'VolBohr3': [1227.93557], 'EfermiRyd': [0.4892938215]}
O3Re {'Iter': [9], 'EtotRyd': [-33887.65556794], 'VolBohr3': [368.35819], 'EfermiRyd': [0.4059496396]}
O10Pa4 {'Iter': [20], 'EtotRyd': [-219923.50462827], 'VolBohr3': [1076.02882], 'EfermiRyd': [0.8880958189]}
HfO2 {'Iter': [10], 'EtotRyd': [-30497.15894321], 'VolBohr3': [220.10142], 'EfermiRyd': [0.705800759]}
OSm {'Iter': [11], 'EtotRyd': [-21020.00366191], 'VolBohr3': [206.11417], 'EfermiRyd': [0.8219095824]}
OSn {'Iter': [9], 'EtotRyd': [-12508.76667663], 'VolBohr3': [226.14741], 'EfermiRyd': [0.4669306781]}
O6Po4 {'Iter': [8], 'EtotRyd': [-178885.14025882], 'VolBohr3': [1138.44816], 'EfermiRyd': [0.5482983631]}
Ce2O {'Iter': [9], 'EtotRyd': [-35612.13533366], 'VolBohr3': [375.453], 'EfermiRyd': [0.9949944941]}
Cs4O6 {'Iter': [8], 'EtotRyd': [-63224.28034875], 'VolBohr3': [1905.77168], 'EfermiRyd': [0.0220309652]}
OZr2 {'Iter': [8], 'EtotRyd': [-14547.40482253], 'VolBohr3': [324.51347], 'EfermiRyd': [0.817425934], 'Warning_last': ':WARN : QTL-B value eq.   2.07 in Band of energy   0.30283  ATOM=    2  L=  1'}
FrO2 {'Iter': [8], 'EtotRyd': [-48957.89019157], 'VolBohr3': [394.71195], 'EfermiRyd': [0.260829407]}
OY {'Iter': [9], 'EtotRyd': [-6922.21198141], 'VolBohr3': [189.08585], 'EfermiRyd': [0.8448309607], 'Warning_last': ':WARN : QTL-B value eq.   2.40 in Band of energy   0.25810  ATOM=    2  L=  1'}
CdO2 {'Iter': [9], 'EtotRyd': [-11492.78012708], 'VolBohr3': [262.68076], 'EfermiRyd': [0.188747628]}
O2Os {'Iter': [9], 'EtotRyd': [-34864.84056432], 'VolBohr3': [195.45926], 'EfermiRyd': [0.8848153417]}
O6Tb4 {'Iter': [27], 'EtotRyd': [-94655.68409964], 'VolBohr3': [1050.13743], 'EfermiRyd': [0.5167021295]}
O10Pb4 {'Iter': [12], 'EtotRyd': [-168932.73212935], 'VolBohr3': [1186.47895], 'EfermiRyd': [0.380984251]}
O2Pt {'Iter': [9], 'EtotRyd': [-37194.19322124], 'VolBohr3': [217.60181], 'EfermiRyd': [0.6634804389]}
OPd2 {'Iter': [8], 'EtotRyd': [-20338.45261908], 'VolBohr3': [284.01528], 'EfermiRyd': [0.5207426436]}
IrO3 {'Iter': [9], 'EtotRyd': [-36167.4987066], 'VolBohr3': [368.2882], 'EfermiRyd': [0.3676645707]}
OTh {'Iter': [8], 'EtotRyd': [-53223.99153123], 'VolBohr3': [223.55606], 'EfermiRyd': [1.1339975647], 'Warning_last': ':WARN : QTL-B value eq.   2.00 in Band of energy   0.57239  ATOM=    2  L=  1'}
O6U4 {'Iter': [11], 'EtotRyd': [-225568.20167156], 'VolBohr3': [1010.8214], 'EfermiRyd': [0.9670638196]}
OSr {'Iter': [8], 'EtotRyd': [-6510.47573865], 'VolBohr3': [237.78149], 'EfermiRyd': [0.3666265542]}
CsO {'Iter': [8], 'EtotRyd': [-15731.01171023], 'VolBohr3': [357.84656], 'EfermiRyd': [0.190398446]}
AcO2 {'Iter': [8], 'EtotRyd': [-51873.4883218], 'VolBohr3': [356.40202], 'EfermiRyd': [0.4150898228]}
